,Event,Date and Time,Duration (in minutes),Venue,Address,Lowest Price,Highest Price,Booking Status,URL,Address_latitude,Address_longitude
163,Gamers Rave Sydney,13/07/2024 23:45,,Oxford Art Factory,"46 Oxford Street #38 Darlinghurst, NSW 2010",11.29,26.74,,https://www.eventbrite.com.au/e/gamers-rave-sydney-tickets-857629160907?aff=ebdssbdestsearch,-33.87784571,151.2139323
164,Live Music at Maestria,14/07/2024 19:00,180,Maestria Restaurant & Bar,"1 Homebush Bay Drive #Shop 1 Rhodes, NSW 2138",0,0,,https://www.eventbrite.com.au/e/live-music-at-maestria-tickets-914935776537?aff=ebdssbdestsearch,-33.83390375,151.0880357
165,Cinematic Sounds - School Holiday Workshop,16/07/2024 9:00,360,The Conservatorium of Music,"Corner of Auckland and Laman Streets Newcastle, NSW 2300",128.37,128.37,,https://www.eventbrite.com.au/e/cinematic-sounds-school-holiday-workshop-tickets-918535112247?aff=ebdssbdestsearch,-32.92930759,151.7711008
166,Electronic Music Performance Workshop - School Holiday Workshop,17/07/2024 9:00,360,The Conservatorium of Music,"Corner of Auckland and Laman Streets Newcastle, NSW 2300",86.02,86.02,,https://www.eventbrite.com.au/e/electronic-music-performance-workshop-school-holiday-workshop-tickets-918585954317?aff=ebdssbdestsearch,-32.92930759,151.7711008
167,Percussion Workshop,17/07/2024 9:00,270,The Conservatorium of Music,"Corner of Auckland and Laman Streets Newcastle, NSW 2300",86.02,86.02,,https://www.eventbrite.com.au/e/percussion-workshop-tickets-918581511027?aff=ebdssbdestsearch,-32.92930759,151.7711008
168,BLEND 2 | Composition Concert,18/07/2024 16:00,180,66 Harrington St,"reet The Rocks, NSW 2000",0,0,,https://www.eventbrite.com.au/e/blend-2-composition-concert-tickets-860637769737?aff=ebdssbdestsearch,-33.85693817,151.2103843
169,"An Evening with Carlotta Centanni: Italian Classics, Jazz, and Bossa Nova",19/07/2024 19:30,120,Cardea Sydney,"300 Barangaroo Avenue #Shop 2, T3.01 Barangaroo, NSW 2000",43.66,107.19,,https://www.eventbrite.com.au/e/an-evening-with-carlotta-centanni-italian-classics-jazz-and-bossa-nova-tickets-905824975887?aff=ebdssbdestsearch,-33.86512546,151.202201
170,Hoshi Pre Party,19/07/2024 20:00,,Home Main Venue,"101/1-5 Wheat Road Cockle Bay Wharf Darling Park, NSW 2000",38.5,60.5,,https://www.eventbrite.com.au/e/hoshi-pre-party-tickets-888034855157?aff=ebdssbdestsearch,-33.8695335,151.2020692
171,FRI 19 JUL - WAO SUPERCLUB @ IVY,19/07/2024 21:30,,ivy precinct,"330 George Street Sydney, NSW 2000",22,60.5,,https://www.eventbrite.com.au/e/fri-19-jul-wao-superclub-ivy-tickets-920469327537?aff=ebdssbdestsearch,-33.86662343,151.2074597
172,Pibe Cantina x Dia del Amigo | FRI 19 JUL | Kent St Hotel,19/07/2024 22:00,360,Kent Street Hotel,"349 Kent St Sydney, NSW 2000",0,12.68,,https://www.eventbrite.com/e/pibe-cantina-x-dia-del-amigo-fri-19-jul-kent-st-hotel-tickets-884317325927?aff=ebdssbdestsearch,-33.8695835,151.2046902
